title,body,source
Justice Department joins lawsuit over new California congressional districts,Californians voted to redraw the state's congressional maps with Democratic lawmakers. The Justice Department is joining a lawsuit against California Gov. Gavin Newsom over the redrawing of the state's congressional districts ahead of the 2026 midterm elections. The Trump administration accuses California of violating the Constitution by gerrymandering using race as a factor to favor Hispanic voters in the new map.,USA Today
DOJ joins lawsuit to stop California's new anti-GOP congressional map,"The Justice Department on Thursday joined a lawsuit challenging California's new congressional map, saying the state was too focused on race when it drew its new lines. The government sided with California voters and the California Republican Party, which sued last week to try to block the map that voters approved in the recent election. Gov. Gavin Newsom and fellow Democrats, who control the state, drew the map to cut Republicans' share of the congressional delegation from nine down to four seats, out of 52.",Washington Times
Justice Department joins lawsuit seeking to block California's new congressional map,"The Justice Department on Thursday sued to block new congressional district boundaries approved by California voters last week, joining a court battle that could help determine which party wins control of the House in 2026. The complaint filed in California federal court targets the new congressional map pushed by Democratic Gov. Gavin Newsom in response to a similar Republican-led effort in Texas backed by President Trump. It sets the stage for a high-stakes legal and political fight between the Republican administration and the Democratic governor, who's seen as a likely 2028 presidential contender.",CBS News
Justice Department sues to block California US House map in clash that could tip control of Congress,"LOS ANGELES -- The Justice Department on Thursday sued to block new congressional district boundaries approved by California voters last week, joining a court battle that could help determine which party wins control of the U.S. House in 2026. The complaint filed in California federal court targets the new congressional map pushed by Democratic Gov. Gavin Newsom in response to a similar Republican-led effort in Texas backed by President Donald Trump.",ABC News
"Illegal alien truck driver presses for blood samples, vehicle analysis in deadly Florida disaster","Florida Governor Ron DeSantis weighs in on the petition in support of the illegal alien trucker accused of killing three and California Governor Gavin Newsom's 'tough guy' act on 'Hannity.'

An illegal alien truck driver accused of causing a crash in Florida that killed three people appeared in court Thursday as his attorneys pressed for new testing of evidence before trial. Harjinder Singh, 28, of India, faces multiple felony counts for allegedly causing a fiery semi-truck crash that killed three people in Fort Pierce, Florida in August. Singh, who crossed into the United States illegally in 2018 via the southern border, has been charged with three counts of vehicular homicide and was extradited to Florida to face charges after traveling to California in the aftermath of the crash. He appeared via video conference from jail for a docket call before Judge Lawrence Mirman in St.",Fox News
"Evacuation warnings in place as heavy rain could slam California burn scar areas, causing mudslides, debris flows","The storm could bring 4 to 6 inches of rain to areas around Santa Barbara. Evacuation warnings are in place for parts of Southern California as an incoming storm could bring potential mudslides and debris flows to burn scar areas, according to county officials. ""Anyone in these areas should be ready to leave at a moment's notice,"" Los Angeles County officials said in a statement. The evacuation warnings are in effect for the following burn scar areas: Canyon, Bethany, Eaton, Palisades, Hurst, Kenneth, Sunset, Lidia, Franklin and Bridge, according to officials.",ABC News
"Newsom vows to block Trump's reported energy plan in California, experts push back",'Outnumbered' reacts to California Gov. Gavin Newsom's criticisms of his own party for walking away from America's masculinity crisis. California Democratic Gov. Gavin Newsom vowed this week that he would stop a reported Trump administration effort to unleash energy production off California's coast in a social media post that was widely criticized by conservatives and experts who spoke to Fox News Digital.,Fox News
Building more apartments near public transit can help address the housing crisis and climate change,"BOSTON -- After years of living on the street and crashing on friends' couches, Quantavia Smith was given the keys to a studio apartment in Los Angeles that came with an important perk - easy access to public transit. The 38-year-old feels like she went from a life where ""no one cares"" to one where she has a safe place to begin rebuilding her life. And the metro station the apartment complex was literally built upon is a lifeline as she searches for work without a car. ""It is more a sense of relief, a sense of independence,"" said Smith, who moved in July.",Washington Times
This Democrat from a red state could help his party reclaim the House,"Ben McAdams, who served one term in Congress during President Donald Trump's first term, plans to announce Thursday that he is running for a new Democratic-leaning House seat in Utah, he said in an interview. The seat was created amid a national redistricting fight after a state judge this month rejected a congressional map drawn by Republicans and adopted an alternate proposal. Republicans nationally hold a narrow 219-214 majority, making every seat crucial. Utah has not had a Democratic member of Congress since 2021, after McAdams lost his seat -- which at the time represented a conservative district -- after he voted to impeach Trump.",Washington Post
California's governor defends license revocations as Trump administration claims victory,"Don't miss the full story, whose reporting from Josh Funk at The Associated Press is the basis of this AI-assisted article. California plans to revoke 17,000 commercial driver's licenses issued to immigrants amid a dispute between Gov. Gavin Newsom and the Trump administration over whether the licenses were improperly issued or are being revoked for unspecified state law violations. Some key facts:

* California is revoking 17,000 commercial driver's licenses that were given to immigrants, with licenses expiring in 60 days.",Washington Times
Epstein's Emails,"Congress released new files from the Epstein investigation. We explain what they mean. In death, Jeffrey Epstein became a permanent feature of American political life. In life, the financier eventually charged with trafficking girls hosted parties for rich and powerful people.",The New York Times
Ex-Newsom top aide indicted on fraud charges in connection with missing campaign funds,"A former chief of staff for California Gov. Gavin Newsom faces federal fraud charges in connection with diverting $225,000 in campaign funds

* A former chief of staff for California Gov. Gavin Newsom has been indicted on 23 federal felony fraud charges in connection with missing campaign funds. * Dana Williamson is accused of helping divert $225,000 from a campaign account belonging to then - California Attorney General and former HHS Secretary Xavier Becerra.",USA Today
"Master stroke or dumb luck, Dems may win shutdown's long game","What will voters remember next November? President Donald Trump claimed total victory in the deal that ends the record-breaking 43-day shutdown of the federal government, and Democrats are directing their fire at one another over the compromise that some senators struck without achieving their avowed goal of helping on health care costs. But almost precisely one year from today, when crucial midterm elections are held, history says the shutdown will be old news while the costs of health care will still be front and center. By master stroke or dumb luck, congressional Democrats may have won the long game by losing the short one on the shutdown.",USA Today
Opinion | Welcome to the Washington Demolition Derby,Mr. Bruni is a contributing Opinion writer. Mr. Stephens is an Opinion columnist.,The New York Times
Auburn rolling out new downtown entertainment zones just in time for the holidays,"The City of Auburn is getting ready to take its downtown atmosphere to the next level, launching new ""entertainment zones"" that will let people enjoy alcoholic beverages in designated public areas. Soon, residents and visitors will be able to stroll through Old Town or Downtown Auburn with a drink in hand, legally. ""I looked at the bigger cities around San Francisco and Sacramento and realized they're doing it on an event permit basis,"" said Jonathan Wright, Auburn's Economic Development Director. ""To do that every weekend doesn't make sense, so we decided, let's just do it Friday through Sunday.""

The city plans to set up two zones, one in Old Town along Commercial and Washington Streets, and another downtown on Lincoln Way and High Street.",CBS News
"Building apartment projects near public transit helps address housing crisis, combat climate change","BOSTON -- After years of living on the street and crashing on friends' couches, Quantavia Smith was given the keys to a studio apartment in Los Angeles that came with an important perk -- easy access to public transit. The 38-year-old feels like she went from a life where ""no one cares"" to one where she has a safe place to begin rebuilding her life. And the metro station the apartment complex was literally built upon is a lifeline as she searches for work without a car. ""It is more a sense of relief, a sense of independence,"" said Smith, who moved in July.",ABC News
Longtime Newsom critic puts UN summit on notice if Dem governor is allowed to speak: 'Climate hypocrisy','The Five' co-hosts break down California Gov. Gavin Newsom's U.N. climate conference appearance -- and compare it to former Vice President Kamala Harris' book tour. An annual United Nations climate summit being held in the Amazonian city of Belém in Brazil is slated to include talks and appearances by California Gov.,Fox News
Newsom's former chief of staff indicted on public corruption charges,"Dana Williamson, center, a former top aide to California Gov. Gavin Newsom, leaves federal court in Sacramento on Wednesday, (Sophie Austin/AP)

Federal officials arrested a former chief of staff to California Gov. Gavin Newsom on Wednesday, charging her with conspiracy to commit bank and wire fraud, submitting false tax returns and making false statements, among other charges, according to court filings. The 23-count indictment unsealed Wednesday alleges that Dana Williamson conspired from February 2022 through September 2024 with Sean McCluskie, a former chief of staff for then-U.S.",Washington Post
California revokes 17k commercial licenses given to migrants  --  but...,"California plans to revoke 17,000 commercial driver's licenses given to immigrants after the Trump administration raised concerns about people in the country illegally improperly receiving licenses to drive a semitruck or a bus. But Gov. Gavin Newsom said that isn't the reason. Newsom said the revocations are for violations of state law, but he didn't provide specifics.",New York Post
"Golf legend Phil Mickelson laments California gas prices, praises gov candidate supporting offshore drilling","Fox News host Steve Hilton examines the Biden administration's plans for a 'clean energy revolution' on 'The Next Revolution.'

Golf legend Phil Mickelson spoke out about the price of gas in California, while praising California GOP gubernatorial candidate Steve Hilton for his plan to produce gas right in the state to reduce prices. Mickelson's opinions were shared in a series of social media posts on Wednesday. In one post, the golfer re-shared a photo showing prices at a gas station in California exceeding $5 per gallon. CLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM

""This is sad and going to get worse,"" Mickelson wrote.",Fox News
"California revokes 17,000 commercial driver's licenses for immigrants","California plans to revoke 17,000 commercial driver's licenses given to immigrants after the Trump administration raised concerns about people in the country illegally improperly receiving licenses to drive a semitruck or a bus. But Gov. Gavin Newsom said that isn't the reason. Newsom said the revocations are for violations of state law, but he didn't provide specifics.",Boston Herald
Former Aide to Gavin Newsom Charged With Corruption,"Laurel Rosenhall reported from Sacramento, and Shawn Hubler from Los Angeles. A former chief of staff to Gov. Gavin Newsom of California has been charged with conspiring to skim $225,000 from a dormant campaign fund that belonged to a top Biden administration official. The former aide, Dana Williamson, 53, was charged by a federal grand jury with 23 counts, including conspiracy to commit bank and wire fraud, bank fraud, conspiracy to defraud the United States and obstruct justice, according to an indictment that was unsealed on Wednesday.",The New York Times
NYU professor claims many mothers shifted to GOP in 2024 to help their struggling sons,"Scott Galloway suggested that one of the biggest rightward demographic shifts in the 2024 election happened because mothers of young men are trying to help their sons, the same young men whose group interests are ignored by progressives. NYU professor Scott Galloway argued that one of the most notable shifts in the 2024 election came down to mothers trying to help their sons. Galloway has spoken numerous times about the struggles young men face in a changing world, while the modern progressive movement appears to ignore their interests as a group. During an appearance on Nicolle Wallace's podcast ""The Best People,"" Galloway said he ""won the jackpot"" for being a White man born in the 1960s, part of a generation that had access to wealth and affordable homes.",Fox News
Ex-Gavin Newsom staffer indicted on allegations of stealing hundreds of thousands,"Gov. Gavin Newsom's former chief of staff was federally indicted on allegations of stealing $225,000 from Xavier Becerra. Dana Williamson, 53, who served as Newsom's chief of staff from 2023 until December 2024, along with Becerra's former chief of staff Sean McCluskie, former high-ranking Capitol aide and lobbyist Greg Campbell, and two others, are accused of working together to take money from under Becerra's former political campaign account, The San Francisco Chronicle reports on Wednesday. Becerra was then secretary of Health and Human Services during former President Joe Biden's administration.",Raw Story
"Former Gavin Newsom chief of staff charged in $225K fraud and corruption scheme, DOJ says","Breitbart editor-in-chief Alex Marlow shares his take on California Gov. Gavin Newsom's interview with TPUSA's Charlie Kirk on 'The Ingraham Angle.'

California Gov. Gavin Newsom's former chief of staff was arrested Wednesday and charged with a number of fraud crimes for allegedly plotting to steal $225,000 and give it to a friend, the Justice Department said. Dana Williamson, 53, was charged in a 23-count federal indictment charging her with conspiracy to commit bank and wire fraud, defrauding the United States, obstructing justice, filing false tax returns, and lying to authorities.",Fox News
"New film leaves no doubt: Gavin Newsom, Karen Bass abandoned LA as it...","A new documentary about the Palisades Fire of January shows California Gov. Gavin Newsom (D) and Los Angeles Mayor Karen Bass (D) touring the Pacific Palisades as it burns behind them -- with a contingent of Los Angeles Fire Department firefighters accompanying them instead of fighting the blaze. The film, ""Paradise Abandoned,"" scheduled for release in December, is a reminder that the Palisades Fire will continue to haunt Bass as she seeks reelection -- and Newsom as he seeks the presidency. Newsom addressed adoring crowds of Democrats in Houston over the weekend, even picking up a presidential endorsement or two, though he has not yet officially launched his campaign.",New York Post
"California revokes 17,000 driver's licenses. But the state disputes it is over immigration concerns","California plans to revoke 17,000 commercial driver's licenses given to immigrants after the Trump administration raised concerns about people in the country illegally receiving licenses to drive a semitruck or a bus

California plans to revoke 17,000 commercial driver's licenses given to immigrants after the Trump administration raised concerns about people in the country illegally receiving licenses to drive a semitruck or a bus. But Gov. Gavin Newsom said that isn't the reason. Newsom said the revocations are for violations of state law, but he didn't provide specifics.",ABC News
Ex-aide to California governor indicted for alleged theft of campaign funds from ex-health secretary,"SACRAMENTO, Calif. -- A former top aide to California Gov. Gavin Newsom has been indicted on federal charges alleging her involvement in a scheme to steal campaign money from former federal Health Secretary Xavier Becerra. Dana Williamson was arrested and was scheduled to make her first court appearance Wednesday in Sacramento.",Washington Times
"Newsom's former chief of staff charged with diverting $225K from dormant political campaign, prosecutors say","Brandon Downs is a digital content producer at CBS Sacramento. Dana Williamson, Gov. Gavin Newsom's former chief of staff, was arrested and charged with conspiracy to commit fraud and obstruct justice, federal prosecutors said Wednesday. Court documents allege that Williamson, 53, conspired with others to divert about $225,000 in funds from a dormant political campaign to an associate's personal use, prosecutors said.",CBS News
"California Gov. Gavin Newsom's ex-chief of staff arrested, accused of...","California Gov. Gavin Newsom's former chief of staff was arrested Wednesday and charged with plotting with accomplices to swipe $225,000 from inactive political campaigns and funnel it straight into a friend's pocket, federal prosecutors announced Wednesday. Dana Williamson, 53, is now facing a sweeping 23-count federal indictment charging her with conspiracy to commit bank and wire fraud, defrauding the United States, obstructing justice, filing false tax returns, and lying to authorities, according to the US Attorney's Office for the Eastern District of California. ""This is a crucial step in an ongoing political corruption investigation that began more than three years ago,"" US Attorney Eric Grant said in a statement.",New York Post
Trump's plans for more drilling off California sharpen feud with Newsom,"The governor called the administration's proposal for new offshore oil and gas leases ""dead on arrival"" at an annual climate summit in Brazil. The Trump administration's expected announcement this week of its plans to expand oil and gas drilling off California is already fueling the feud between President Donald Trump and Gov. Gavin Newsom. Although the plan, first reported by The Washington Post on Tuesday, is years away from fruition, Newsom wasted no time shooting it down, calling it ""dead on arrival"" at the 30th annual Conference of Parties (COP30) climate summit in Belém, Brazil.",MSNBC.com
"This supposed GOP silver bullet doesn't work, and other lessons from Dem election wins","Democrat Abigail Spanberger with her family on stage after her victory speech in Virginia. REUTERS/Jay Paul

Within hours of the 2024 presidential election, we saw lots of blame being thrown on Democrats' championing of LGBTQ rights and, in particular, trans rights, as a major reason for Kamala Harris's loss. This, even as Harris hardly discussed trans rights. Incessant attention was nonetheless paid to one anti-trans ad that research even showed didn't actually effectively sway many voters.",Raw Story
'No way we're going back': Canadians are flying just about anywhere but the US,"Canadians are still boycotting travel to the United States and say there's ""no way we're going back"" while Donald Trump is in power. 10 months on from the start of Trump's second term and it seems Canadians are still being cautious about holidaying in the US. Both last-minute holidaymakers and planned breaks abroad see members of the public avoiding the States, as they instead head further afield for their trips. The number of Canadians returning from the US by car and plane in September dropped by a third compared to the same month last year, according to The Economic Times.",Raw Story
"Letter to the editor: We need constitutional obedience, not a convention","I strongly disagree with Cal Thomas' endorsement of the convention of the states (""Time for a second American revolution,"" Web, Nov. 10). Such a convention cannot be limited; it would put everything in the Constitution up for grabs, including the method of ratification. The purpose of an amendment to the Constitution is to correct a problem in the Constitution.",Washington Times
Donald Trump Is a Lamer Duck Than Ever,"For a president who wants to project vigor and command at all times, Donald Trump made the worst possible spectacle of himself in the Oval Office last Thursday. It came in the form of two images captured during a press event to announce cheaper weight-loss drugs. The first materialized when a participant fainted and several officials on hand rushed over. Not Trump, however, who, after turning to look at the fallen man, stood a few feet away at the Resolute Desk with his back to the action, wearing an indifferent expression.",The Atlantic
Newsom silent on violent Berkeley protest of TPUSA at California university,"Two days after agitators violently disrupted a TPUSA event in Berkeley, California, the state's governor, Gavin Newsom, has yet to issue a public comment on the matter. The incident unfolded on Monday night on the campus of UC Berkeley at a Turning Point event featuring actor Rob Schneider and author Frank Turek, a Christian mentor of the organization's late founder, Charlie Kirk. Left-wing agitators swarmed Zellerbach Hall where the event, which was the last stop on the ""This is the Turning Point"" tour, was held. Four students at the university were arrested, according to The Daily Californian, which omitted the suspects' names from its report.",Fox News
Sean Duffy accuses 'no-show' Pete Buttigieg of trying to 'rewrite his record' after Trump criticism,"Transportation Secretary Sean Duffy responds to criticism from former Transportation Secretary Pete Buttigieg and discusses flight cancelations due to the government shutdown on 'Hannity.'

Transportation Secretary Sean Duffy defended President Donald Trump against criticism from former Transportation Secretary Pete Buttigieg, accusing him of neglecting key aviation safety issues during his tenure. ""There were 85 near misses in the Potomac before the DCA air crash. Pete did nothing,"" Duffy said on ""Hannity.""

""He spent $80 billion on DEI and on climate change. He lowered the standards for training at the FAA.",Fox News
Letter to the editor: How Youngkin could get Trump's presidential endorsement,"Virginia Gov. Glenn Youngkin lost two of the three congressional races he targeted in 2022 and both houses of the General Assembly in 2023. He refused to step up and take out Sen. Tim Kaine in 2024, got shellacked in 2025 and has allowed for the 2026 loss of at least two more congressional seats.",Washington Times
"Jack Schlossberg succeeded in 'trolling for a cause.' Now, he's running for Congress","During his 1961 inaugural address, John F. Kennedy famously implored a new generation of Americans to serve their country. Almost 64 years later, Jack Schlossberg, his only grandson, is now heeding the call for generational change from Democratic voters as the party's leaders continue to cling to office well into their 70s. Schlossberg, 32, announced Wednesday morning in a video posted to social media that he's running for the House seat of 78-year-old Rep.",MSNBC.com
"Lara Trump praises John Fetterman for standing up to Dems, 'View'...","Lara Trump compared Sen. John Fetterman to her father-in-law, President Trump, on Tuesday after praising the Pennsylvania Democrat for voting with Republicans to end the government shutdown and ably defending himself from criticism leveled by ""The View"" co-host Sunny Hostin. Fetterman broke ranks with Democratic leadership and voted with Republican senators 15 times to reopen the government before the upper chamber finally pushed through a legislative package Monday that would fund the government through Jan. 30, 2026, if approved by the House.",New York Post
"California's Newsom criticizes ""chilling"" U.S. military strikes on alleged drug-carrying vessels","BELEM, Brazil, Nov 11 (Reuters) - California Governor Gavin Newsom said it was chilling to see the U.S. military blowing up suspected drug vessels in the Caribbean and off the Pacific coasts of Latin America with no transparency. ""What happened to due process? What happened to the rule of law?"" Newsom said when asked about the strikes at the COP30 climate summit in Brazil.",Reuters
"At COP30, California Governor Newsom blasts Trump for 'dumb' US climate policy","And they're going to dominate in the next great global industry. 0 of 59 secondsVolume 0%

Press shift question mark to access a list of keyboard shortcuts

Keyboard ShortcutsEnabledDisabled

Shortcuts Open/Close/ or ? Play/PauseSPACE

Increase Volume↑

Decrease Volume↓

Seek Forward→

Seek Backward←

Captions On/Offc

Fullscreen/Exit Fullscreenf

Mute/Unmutem

Decrease Caption Size-

Increase Caption Size+ or =

Seek %0-9

Subtitle Settings

OffEnglish

Font Color

White

Font Opacity

100%

Font Size

100%

Font Family

knowledge-bold

Character Edge

None

Edge Color

Black

Background Color

Black

Background Opacity

85

Window Color

Black

Window Opacity

0%

Reset

WhiteBlackRedGreenBlueYellowMagentaCyan

100%75%50%25%

200%175%150%125%100%75%50%

ArialCourierGeorgiaImpactLucida ConsoleTahomaTimes New RomanTrebuchet MSVerdana

NoneRaisedDepressedUniformDrop Shadow

WhiteBlackRedGreenBlueYellowMagentaCyan

WhiteBlackRedGreenBlueYellowMagentaCyan

100%75%50%25%0%

WhiteBlackRedGreenBlueYellowMagentaCyan

100%75%50%25%0%

Auto180p1080p720p576p540p480p360p288p180p

00:10

00:48

00:59

BELEM, Brazil, Nov 11 (Reuters) - California Governor Gavin Newsom assured an audience at the COP30 climate summit in Brazil that his state would continue to prioritize green technology, while blasting U.S. President Donald Trump's ""dumb"" decision to reverse the federal government's course on climate action.",Reuters
Newsom Storms Climate Conference and Assails Trump as a 'Bully',"Gov. Gavin Newsom of California on Tuesday cast himself as the ""stable and reliable"" American partner to the world, called a reported White House proposal to open offshore drilling in the waters off California ""disgraceful"" and urged his fellow Democrats to recast climate change as a ""cost of living issue.""

Mr. Newsom, a Democrat who is widely considered to be weighing a 2028 presidential bid, used his appearance at the United Nations climate summit in Belém, Brazil, to paint President Trump as a threat to American competitiveness by letting China dominate electric vehicles, solar panels and other clean energy technologies of the future. ""The United States of America better wake up at that,"" Mr.",The New York Times
"Fetterman fires back at Newsom after shutdown criticism, refuses to 'play chicken' with the lives of Americans","Sen. John Fetterman, D-Pa., responded to criticism on Bari Weiss podcast from California Gov. Gavin Newsom about his vote on the government shutdown. Sen.",Fox News
Video: Newsom Criticizes Trump's Offshore Oil Drilling Proposal,"During the United Nations climate summit on Tuesday, Gov. Gavin Newsom of California responded to President Trump's proposal to allow new oil and gas drilling off the California coast, declaring it ""dead on arrival.""

We've talked in the past COPs about the polluted heart of the climate crisis being big oil. Increasingly, the polluted heart of the climate crisis appears to be Donald Trump. As it relates to offshore oil drilling, it's overwhelmingly opposed by members of all political parties in the state of California.",The New York Times
AP Interview: Newsom says Trump climate-fighting absence is 'doubling down on stupid',"BELEM, Brazil -- Calling America's absence from key United Nations climate negotiations ""doubling down on stupid,"" California Gov. Gavin Newsom said Tuesday the United States risks being left behind as an economic power. Newsom, a Democrat eyeing a 2028 presidential run, is so far the highest profile of several U.S. governors and mayors at U.N.",Washington Times
Newsom claims Trump is 'handing the future to China' at Brazilian climate confab that WH skipped,"Daniel Turner joins Jimmy Failla on Fox Across America to share his thoughts on the start of the UN Climate Change Conference in Brazil. California Gov. Gavin Newsom was the most prominent American official to attend the COP30 global climate conference in Belém, Brazil, this week -- using the platform to criticize the absent Trump administration. The White House mocked the trip, noting California's continued rank among the highest in U.S.",Fox News
"'The View' host confronts Fetterman on shutdown stance, says he brought 'butter knife' to gunfight","""The View"" co-host Sunny Hostin pressed Sen. John Fetterman, D-Pa., on Tuesday on why he voted to end the government shutdown, accusing him of bringing a butter knife to a ""gunfight.""

Hostin quoted Sen. Bernie Sanders, I-Vt., and Gov. Gavin Newsom, D-Calif., who both criticized the decision by eight senators to vote to end the shutdown.",Fox News
Fox Nation goes inside Marine Corps' brutal training for exclusive 250th anniversary feature,"Fox Nation's 'Courage & Commitment: USMC 250' chronicles the history of the United States Marine Corps, from the birth to the branch's 250th birthday. For 250 years, the United States Marine Corps has stood as America's shield -- forged in fire, tested in battle and bound by the spirit of Semper Fidelis. Now, Fox News' Eric Shawn is taking Fox Nation viewers inside the world of the Marines, from the brutal training grounds to the battlefields that shaped history, to honor two-and-a-half centuries of courage, sacrifice and brotherhood in the brand-new series, ""Courage & Commitment: USMC 250.""

""You have to earn the title [of] Marine,"" actor and comedian Rob Riggle, who formerly served in the Marine Corps, said in a sit-down interview with Shawn. ""You don't sign with a recruiter and show up to boot camp, and you're a Marine.",Fox News
'The View' Host Sunny Hostin Confronts John Fetterman on Voting to Reopen Government: 'Why Bring a Butter Knife to a Gunfight?',"""You had momentum. Why give in now?"" the ABC host asks the Democratic senator

Senator John Fetterman was one of the handful of Democrats who opted to vote alongside Republicans to reopen the government over the weekend, and during his Tuesday appearance on ""The View,"" host Sunny Hostin called him out directly for it. According to the ABC host, he and his colleagues brought ""a butter knife to a gunfight.""

Hostin was quick to point out that fellow Democrats like Sen. Bernie Sanders called the move a ""horrific mistake,"" while California governor Gavin Newsom called it ""pathetic"" and a ""surrender.",TheWrap
"Washington Post editorial praises Senate Democrats who voted to end shutdown, calls failure 'inevitable'","Late-night comedians Seth Meyers, Jon Stewart, Jimmy Kimmel and Stephen Colbert dug into the Democratic Party on Monday, after eight senators voted with the GOP on a deal to end the government shutdown. The Washington Post editorial board praised the eight Senate Democrats who broke their party leaders to vote in favor of a House-passed continuing resolution (CR) Sunday night, arguing that ""the party that takes the government hostage to advance its policy goals almost never succeeds.""

Comparing the ongoing government shutdown to when conservatives shut down the government in 2013 in an unsuccessful attempt to defund Obamacare, The Post contended that Democrats have followed suit and allowed ""angry activists"" to influence them into doing something that they knew wouldn't end well. ""The exact same thing just happened to Democrats, and it's ending the same way: with the same inevitable failure and predictable backlash from their own angry activists,"" the editorial board wrote. SENATE VOTE TO END GOVERNMENT SHUTDOWN IGNITES DEMOCRAT CIVIL WAR

As the end nears for the longest government shutdown in U.S.",Fox News
"Trump administration skips COP30 climate summit, leaving California's Newsom to hurl criticism from Brazil","Ramy Inocencio is a CBS News foreign correspondent based in London, covering Europe and the Middle East. He joined the Network in 2019 as CBS News' Asia correspondent, based in Beijing and reporting across the Asia-Pacific, bringing two decades of experience working and traveling between Asia and the United States. In Belém, the bustling Brazilian gateway to the Amazon rainforest, leaders from nearly 200 nations have gathered for the United Nations' 30th Climate Change Conference, known as COP30, to chart difficult next steps in the global fight against climate change. But the absence of the leaders from the world's three largest greenhouse gas emitters -- China, the United States and India -- cast a shadow over the summit as it kicked off.",CBS News
GOP insiders fear they're losing 'political war' to Dems: report,"U.S. President Donald Trump speaks, during the swearing-in ceremony for Sergio Gor as U.S. Ambassador to India, at the White House in Washington, D.C., U.S., November 10, 2025. REUTERS/Kevin Lamarque

Although President Donald Trump is confident in his redistricting battle designed to keep the Republican House majority, insiders say Republicans are fretting that last Tuesday's election results gave Democrats an opening to counterstrike, NBC reports.",Raw Story
Red state judge chooses new congressional map in fight that could reshape House control,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. In a blow to Republicans, a Utah district judge rejected a congressional district map drawn up by the state's GOP-dominated legislature and instead approved an alternate that will create a Democratic-leaning district ahead of the 2026 midterm elections. Republicans currently control all four of the red state's congressional districts, but Utah District Judge Dianna Gibson ruled late Monday that a map drawn up by GOP lawmakers ""unduly favors Republicans and disfavors Democrats.""

Utah is the latest battlefield in the high-stakes redistricting showdown between President Donald Trump and Republicans versus Democrats to shape the midterm landscape in the fight for the House majority.",Fox News
"Honestly, Democrats. What was the point of your government shutdown? | Opinion","Lawmakers agree to end longest-ever government shutdown, reopen government through Jan 30

The U.S. Senate finally passed a funding package Nov. 10 to end the longest government shutdown in recorded history ‒ 42 days so far - at least through Jan. 30.",USA Today
"Cities across U.S. fail to curb traffic deaths: ""They don't return home""","Los Angeles -- Kris Edwards waited at home with friends for his wife, Erika ""Tilly"" Edwards, to go out to dinner, but she never made it back to the house they had purchased only four days earlier. Around 9 p.m. on June 29, a hit-and-run driver killed Tilly as she walked to her car after a fundraiser performance in Hollywood. ""I've just got to figure out how to keep living.",CBS News
Senate approves deal to end longest-ever shutdown; House vote next. Live updates,"WASHINGTON ‒ The Senate approved a deal Monday night to end the nation's longest-ever government shutdown, putting Congress on the brink of resolving a weeks-long fight that has disrupted flights and halted food stamps for millions of Americans. In a 60-40 vote, the Senate signed off on a deal reached by eight members of the Democratic Senate Caucus and Republicans to reopen the government through Jan. 30. The continuing resolution now heads to the House of Representatives, which is expected to take it up on Wednesday following the Veteran's Day holiday.",USA Today
Democrat election wins showcase power of media lies,"A communist will soon be taking over the top executive spot for the nation's most iconic city -- and not just any communist, but a radical Muslim communist with open antisemitic leanings -- and not just any city, but the city that was torn apart by the toppling of its Twin Towers on Sept. 11, 2001. And in Virginia, in New Jersey, it's more of the same -- Democrats, which is to really say socialists, which is to really say communists, won the top gubernatorial spots. Meanwhile, Proposition 50 passed in California, giving Democrats a better-than-your-average-bear chance of redrawing districts in a way that strips Republicans of the teeny, weeny, tiny five-seat congressional power they have managed to hold in the Golden State.",Washington Times
"California 'mental health' loophole frees killers and crooks with 'terrible laws,' sheriff warns","Sacramento County Sheriff Jim Cooper tells Fox News Digital the state's diversion law is being abused by violent and repeat offenders, erasing accountability and putting public safety at risk. A California law meant to help people with mental illness avoid prison is now letting violent criminals and repeat offenders walk free, Sacramento County Sheriff Jim Cooper warned, calling it a ""terrible"" policy that's being ""abused"" by ""career criminals.""

Cooper told Fox News Digital that ""terrible laws"" have replaced accountability with ""excuses.""

""There's room for diversion somewhere, especially someone that has an addiction problem,"" Cooper explained. ""But what's happened is they open the gates wide. So right now everyone's taking advantage of it.",Fox News
Opinion | California's woes are many. Will any Democrat dare admit it in 2026?,"California Gov. Gavin Newsom speaks to reporters in Stockton, California, on Oct. 22. (Justin Sullivan/Getty Images)

Bill Whalen, the Hoover Institution's Virginia Hobbs Carpenter Distinguished Policy Fellow in Journalism, was chief speechwriter to former California governor Pete Wilson.",Washington Post
Democrats face demand for ruthlessness as shutdown ends,"House Minority Leader Hakeem Jeffries (D-New York) blasted the eight Democrats who voted with Senate Republicans to advance a bill that would end the government shutdown. (Jabin Botsford/The Washington Post)

The fury at eight Democratic-aligned senators who voted with Republicans to end the longest-ever government shutdown highlights the dramatic shift in the Democratic Party less than a year into President Donald Trump's second term, as voters and lawmakers argue the party needs to adopt more ruthless tactics to counter the president and claw its way back to power. The reaction to the two votes on Sunday and Monday, which provide a pathway for the government to reopen after more than 40 days, was fierce. Rep.",Washington Post
